鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
內湖區,房地(土地+建物)+車位,臺北市內湖區金龍路６７巷６號十樓,20.09,都市：其他:第三種住宅區。,,,1090516,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100806,127.03999999999999,2,2,1,有,無,24880000,216921,坡道機械,19.72,1600000,預售屋、或土地及建物分件登記案件；,RPSQMLTKIIGGFCA87DA,61.59,10.12,0.0,,
內湖區,房地(土地+建物)+車位,臺北市內湖區金龍路６７巷８號八樓,25.78,都市：其他:第三種住宅區。,,,1090321,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100806,174.23000000000002,2,2,2,有,無,30990000,213293,坡道平面,39.72,2300000,預售屋、或土地及建物分件登記案件；,RPVQMLTKIIGGFCA18DA,75.55,14.31,0.0,,
內湖區,房地(土地+建物)+車位,臺北市內湖區金龍路６７巷１０號十樓,26.03,都市：其他:第三種住宅區。,,,1090321,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100806,175.86,2,2,2,有,無,32270000,217203,坡道平面,39.72,2700000,預售屋、或土地及建物分件登記案件；,RPWQMLTKIIGGFCA28DA,76.71,14.23,0.0,,
中山區,房地(土地+建物),臺北市中山區林森北路４１６巷１號二樓之２,4.39,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100924,土地1建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0650909,44.660000000000004,1,1,1,有,有,7500000,167936,,0.0,0,,RPPRMLKKJIGGFCA86DA,31.21,3.17,0.0,有,084
信義區,房地(土地+建物),臺北市信義區松德路２５巷１６號十一樓,8.53,都市：其他:第三種住宅區。,,,1100929,土地2建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740620,79.96000000000001,2,1,1,有,有,16700000,208854,,0.0,0,陽台外推；,RPTNMLKMRHGGFDA87DA,57.7,9.58,0.0,,
南港區,房地(土地+建物)+車位,臺北市南港區園區街４８號三樓之１,30.53,都市：其他:住宅區(特)。,,,1100913,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000414,217.85,4,2,2,有,有,44580000,204636,坡道平面,0.0,0,含土地增值稅或其他稅費；含仲介費；,RPXOMLMLIIGGFDA67DA,108.32,19.37,0.0,,
松山區,房地(土地+建物)+車位,臺北市松山區松河街１６８號十七樓之１,22.13,都市：其他:第三種商業區。,,,1101029,土地1建物1車位1,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1090922,267.61,4,2,3,有,有,72000000,294306,坡道平面,33.16,3000000,,RPVNMLNJJIGGFDA37DA,142.23,14.71,0.0,有,087
松山區,房地(土地+建物),臺北市松山區南京東路五段４５號三樓之５,17.28,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第貳種商業區)。,,,1101009,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0721213,117.35,2,2,2,有,有,27700000,236046,,0.0,0,陽台外推；,RPOOMLLKJIGGFDA66DA,84.15,9.07,0.0,,
北投區,房地(土地+建物),臺北市北投區中山路３號十二樓之２,9.8,都市：其他:特定觀光商業專用區。,,,1101008,土地1建物1車位0,十二層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920127,72.62,1,1,1,有,有,13200000,181768,,0.0,0,陽台外推；,RPTNMLNLIIGGFEA37DA,37.04,15.11,0.0,,
北投區,房地(土地+建物)+車位,臺北市北投區光明路１６８號八樓之２,6.68,都市：其他:第三種商業區。,,,1101024,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990126,87.11,1,1,1,有,有,15000000,172196,塔式車位,15.72,0,陽台外推；其他增建；,RPTNMLMJJIGGFEA17DA,39.16,11.04,0.0,有,093
士林區,房地(土地+建物),臺北市士林區延平北路五段５０號七樓之１,12.97,都市：其他:第一種商業區。,,,1100912,土地2建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020312,81.25,1,1,1,有,有,12900000,158769,,0.0,0,,RPSQMLOJJIGGFEA57DA,46.65,7.69,0.0,,
北投區,房地(土地+建物)+車位,臺北市北投區關渡路３８號四樓,51.75,都市：其他:第三之一種住宅區及第三種住宅區。,,,1100908,土地3建物1車位2,四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0930517,303.77,4,2,2,有,有,49000000,161306,坡道機械,34.98,0,,RPUOMLLKJIGGFEA37DA,168.88,18.19,0.0,,
大安區,房地(土地+建物),臺北市大安區忠孝東路三段２０４號三樓之２,19.58,都市：其他:第三種住宅區。,,,1100818,土地2建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760423,107.72,3,2,2,有,有,25080000,232826,,0.0,0,,RPXNMLNJRHGGFFA48DA,68.05,10.54,0.0,,
大安區,房地(土地+建物),臺北市大安區忠孝東路四段１６２號七樓之４,7.01,都市：其他:道路用地(公共設施用地)。48/3/13,,,1101004,土地3建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0660422,53.06,0,0,0,無,有,15500000,292122,,0.0,0,建物現況格局:1衛。,RPRNMLKLIIGGFFA96DA,42.31,4.46,0.0,有,096
大安區,房地(土地+建物),臺北市大安區仁愛路四段６４號九樓之４,4.2,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第肆之壹種住宅區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1100930,土地2建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0661212,41.68,1,1,1,有,有,13850000,332294,,0.0,0,,RPQNMLTLIIGGFFA77DA,33.28,0.0,0.0,有,098
大安區,房地(土地+建物)+車位,臺北市大安區辛亥路二段１７１巷６弄６號十樓,12.79,都市：其他:第三之二種住宅區。,,,1101014,土地3建物1車位1,十層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720125,197.61,3,2,2,有,有,41500000,210010,坡道平面,28.61,0,,RPWNMLKKJIGGFFA47DA,167.54,20.99,0.0,,
文山區,房地(土地+建物)+車位,臺北市文山區興隆路二段６１巷１０號九樓,39.95,都市：其他:第三種住宅區。,,,1100909,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980505,230.33999999999997,4,2,2,有,有,40660000,205659,坡道平面,44.79,2500000,陽台外推；,RPVNMLLKJIGGFAA07EA,113.43,20.74,0.0,,
萬華區,房地(土地+建物)+車位,臺北市萬華區成都路１５７號二樓之３,15.49,都市：其他:第四種商業區。,,,1101013,土地2建物1車位2,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960622,189.84,3,2,2,有,有,24700000,146660,塔式車位,35.06,2000000,交易價格為新台幣2470萬元，拆分土地價格為2050萬元，建物價格為420萬元陽台外推；其他增建；,RPOOMLLKJIGGFBA56EA,84.31,18.09,0.0,有,100
中山區,房地(土地+建物),臺北市中山區新生北路一段１０８之３號十樓之２,3.26,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參之貳種住宅區)。,,,1100824,土地6建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0671002,32.48,1,1,1,有,有,4500000,138547,,0.0,0,,RPVOMLLKJIGGFCA37EA,17.45,9.54,0.0,,
信義區,房地(土地+建物),臺北市信義區信義路五段１５０巷４９９號十三樓之９,11.82,都市：其他:第二種住宅區。,,,1101004,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851209,57.65,1,1,1,有,有,11880000,206071,,0.0,0,,RPRNMLTLIIGGFDA77EA,32.2,3.24,0.0,,
士林區,房地(土地+建物)+車位,臺北市士林區天玉街３８巷１２號五樓之２,16.27,都市：其他:第三種住宅區。,,,1101021,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860414,63.34,1,1,1,有,有,15000000,236817,一樓平面,11.73,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLKKJIGGFEA17EA,32.02,5.65,0.0,,
南港區,房地(土地+建物),臺北市南港區忠孝東路六段１３０號九樓之３,4.09,都市：其他:第三之二種住宅區。,,,1101016,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000110,33.26,1,1,1,有,有,10100000,303668,,0.0,0,夾層；,RPUNMLMKJIGGFDA37EA,20.66,0.0,0.0,有,111
信義區,房地(土地+建物)+車位,臺北市信義區信義路五段１２７號十四樓之２,14.77,都市：其他:特定業務區(信義計畫特定專用區)。,,,1101016,土地1建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0951229,107.75,2,2,1,有,有,25400000,235731,坡道機械,0.0,0,,RPVNMLMKJIGGFDA47EA,51.21,9.6,0.0,,
松山區,房地(土地+建物)+車位,臺北市松山區健康路３５巷４０號八樓,24.16,都市：其他:第三種住宅區。,,,1101005,土地3建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910307,118.82999999999998,2,2,1,有,有,28900000,243205,坡道平面,3.97,0,,RPXNMLMKJIGGFDA67EA,63.03,9.54,0.0,,
南港區,房地(土地+建物)+車位,臺北市南港區東新街１１８巷４７號十樓,21.98,都市：其他:第二種住宅區。,,,1101001,土地3建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010314,133.3,2,2,2,有,有,31500000,277778,坡道平面,31.42,3200000,,RPPOMLTLIIGGFDA67EA,67.89,10.23,0.0,有,112
信義區,房地(土地+建物),臺北市信義區松勤街９號十一樓之１２,6.13,都市：其他:特定業務區(信義計畫特定專用區)。,,,1101001,土地1建物1車位0,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0961225,49.24,1,1,1,有,有,18580000,377335,,0.0,0,,RPUNMLTLIIGGFDA08EA,28.85,4.1,0.0,,
