鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區光明路８８巷３３號十樓,20.42,都市：其他:住宅區,,,1100717,土地1建物1車位2,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970822,152.57,3,2,2,有,有,18700000,144501,坡道機械,43.92,3000000,其他增建；,RPTOMLMKJIGGFGF18EA,64.63,11.29,0.0,,
淡水區,房地(土地+建物)+車位,新北市淡水區中正路一段１５６巷１２號十四樓之１,18.96,都市：其他:商業區,,,1101020,土地1建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801204,211.61999999999998,3,2,2,有,有,11800000,55760,坡道平面,46.61,0,陽台外推；,RPXNMLPKJIGGFEF58EA,162.12,17.52,0.0,有,0281
淡水區,房地(土地+建物),新北市淡水區中正東路二段９１號五樓之２,11.21,都市：其他:住宅區(三),,,1100918,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831216,73.73,2,1,1,有,有,8600000,116642,,0.0,0,,RPRPMLMKJIGGFEF87EA,41.71,6.99,0.0,,
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路２１６巷３４號三樓,21.77,都市：其他:住宅區,,,1101030,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0991216,109.2,3,1,2,有,有,6800000,62271,坡道機械,12.94,0,,RPPNMLPKJIGGFEF77EA,64.08,5.12,0.0,,
淡水區,房地(土地+建物),新北市淡水區自強路１１８巷７號,108.92,都市：其他:保護區,,,1100911,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0760725,156.29,4,2,3,有,無,21800000,139484,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；其他增建；,RPRNMLPKJIGGFEF97EA,132.02,24.27,0.0,,
淡水區,房地(土地+建物)+車位,新北市淡水區水源街二段１７７巷７０號十一樓,33.53,都市：其他:住宅區,,,1101019,土地1建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851202,189.72,3,2,2,有,有,7900000,41640,坡道平面,64.44,0,,RPSNMLPKJIGGFEF08EA,92.22,11.48,0.0,,
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路二段２０２巷７號三樓,24.22,都市：其他:第五之一種住宅區,,,1101025,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020916,157.41,3,2,2,有,有,10000000,63528,坡道平面,30.43,0,,RPTNMLPKJIGGFEF18EA,74.17,12.36,0.0,有,0282
淡水區,房地(土地+建物),新北市淡水區學府路１３６巷５７號四樓之２,13.49,都市：其他:住宅區,,,1101011,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961002,64.13,3,0,3,有,有,4450000,69390,,0.0,0,陽台外推；,RPUNMLPKJIGGFEF28EA,38.13,4.65,0.0,有,0283
淡水區,房地(土地+建物),新北市淡水區新民街１８０之８號五樓,32.22,都市：其他:住宅區,,,1101016,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730810,108.75,9,0,9,有,無,6180000,56828,,0.0,0,頂樓加蓋；,RPSNMLLKJIGGFEF67EA,98.39,10.36,0.0,無,0284
淡水區,房地(土地+建物),新北市淡水區興福寮８８巷２２８號四樓,16.59,,山坡地保育區,丙種建築用地,1101101,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900411,86.94,2,1,1,有,有,5000000,57511,,0.0,0,,RPQNMLMKJIGGFEF57EA,54.19,7.85,0.0,,
淡水區,房地(土地+建物),新北市淡水區淡金路１６巷２３號二十樓,15.11,都市：其他:住宅區(三),,,1101016,土地1建物1車位0,二十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821224,106.99000000000001,3,2,1,有,有,8300000,77577,,0.0,0,,RPRNMLMKJIGGFEF67EA,90.32,10.1,0.0,有,0285
八里區,房地(土地+建物),新北市八里區頂寮五街１３號十三樓之１,8.22,都市：其他:住宅區,,,1100926,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840408,107.11,1,1,1,有,有,4000000,37345,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLPJJIGGFEF28EA,46.97,7.4,0.0,,
汐止區,車位,新北市汐止區國興街３０巷８號等建築物之地下六層,0.15,,鄉村區,乙種建築用地,1101105,土地3建物1車位1,地下六層,十七層,其他,停車空間,鋼筋混凝土造,0861210,42.08,0,0,0,有,有,1050000,,坡道平面,42.08,1050000,僅車位交易；,RPPNMLMKJIGGFDF37EA,0.0,0.0,0.0,有,0286
新店區,房地(土地+建物)+車位,新北市新店區黎明路６５巷２１號三樓,61.47,都市：其他:住宅區,,,1100914,土地13建物1車位1,三層，四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790427,143.79,3,2,2,有,有,7600000,52855,坡道平面,0.0,0,頂樓加蓋；,RPXQMLMKJIGGFCF38EA,125.39,18.4,0.0,,
